video_title,channel_uploader,author,publish_date,updated_date,like_count,text_display,url
"Trump says he will ""protect women"" whether they ""like it or not""",CBS Evening News,@j.ritter619,2024-11-01T00:19:30Z,2024-11-01T00:19:30Z,0,"This is the hill you dems wanna end it on, huh?",https://www.youtube.com/watch?v=E-5sGYguihM
"Trump says he will ""protect women"" whether they ""like it or not""",CBS Evening News,@tbasuil9157,2024-11-01T00:19:30Z,2024-11-01T00:19:30Z,0,Fake news.,https://www.youtube.com/watch?v=E-5sGYguihM
"Trump says he will ""protect women"" whether they ""like it or not""",CBS Evening News,@tentam1982,2024-11-01T00:19:27Z,2024-11-01T00:19:27Z,0,🎉VOTED ❤️TRUMP❤ 🎉<br>  from California ...<br>American FIRST 🇺🇸,https://www.youtube.com/watch?v=E-5sGYguihM
"Trump says he will ""protect women"" whether they ""like it or not""",CBS Evening News,@EricPlotnik-c9o,2024-11-01T00:19:23Z,2024-11-01T00:19:23Z,0,Atleast he&#39;s talking about keeping us safe,https://www.youtube.com/watch?v=E-5sGYguihM
"Trump says he will ""protect women"" whether they ""like it or not""",CBS Evening News,@chrisblaisdell6393,2024-11-01T00:19:20Z,2024-11-01T00:19:20Z,0,Trump to prison 2024,https://www.youtube.com/watch?v=E-5sGYguihM
"Trump says he will ""protect women"" whether they ""like it or not""",CBS Evening News,@IAMVALUABLE,2024-11-01T00:19:16Z,2024-11-01T00:19:16Z,0,Don&#39;t no one care about Jennifer Lopez,https://www.youtube.com/watch?v=E-5sGYguihM
"Trump says he will ""protect women"" whether they ""like it or not""",CBS Evening News,@deec9076,2024-11-01T00:19:08Z,2024-11-01T00:19:08Z,0,Their lying,https://www.youtube.com/watch?v=E-5sGYguihM
"Trump says he will ""protect women"" whether they ""like it or not""",CBS Evening News,@davidmann2988,2024-11-01T00:19:08Z,2024-11-01T00:19:08Z,0,Another half truth taken out of context.  No one with brains is buying your BS anymore,https://www.youtube.com/watch?v=E-5sGYguihM
"Trump says he will ""protect women"" whether they ""like it or not""",CBS Evening News,@rodneyginokc,2024-11-01T00:19:02Z,2024-11-01T00:19:02Z,0,LOL ENJOY THE 10 BILLION DOLLAR LAWSUIT,https://www.youtube.com/watch?v=E-5sGYguihM
"Trump says he will ""protect women"" whether they ""like it or not""",CBS Evening News,@elainequeens8490,2024-11-01T00:18:59Z,2024-11-01T00:18:59Z,1,Project 2025,https://www.youtube.com/watch?v=E-5sGYguihM
"Trump says he will ""protect women"" whether they ""like it or not""",CBS Evening News,@asdfxcvbn746,2024-11-01T00:18:50Z,2024-11-01T00:18:50Z,0,Trump 2024 🇺🇸,https://www.youtube.com/watch?v=E-5sGYguihM
"Trump says he will ""protect women"" whether they ""like it or not""",CBS Evening News,@Semper_Iratus,2024-11-01T00:18:46Z,2024-11-01T00:18:46Z,0,Democrats lie right to your face.,https://www.youtube.com/watch?v=E-5sGYguihM
"Trump says he will ""protect women"" whether they ""like it or not""",CBS Evening News,@IAMVALUABLE,2024-11-01T00:18:44Z,2024-11-01T00:18:44Z,0,TRUMP 2024 MAGA,https://www.youtube.com/watch?v=E-5sGYguihM
"Trump says he will ""protect women"" whether they ""like it or not""",CBS Evening News,@longgrayline8055,2024-11-01T00:18:44Z,2024-11-01T00:18:44Z,0,Man the leftwingers are truly grasping for straws.  Mean old Trump.  Get a grip people.  Trump 2024🏆🇺🇸🏆,https://www.youtube.com/watch?v=E-5sGYguihM
"Trump says he will ""protect women"" whether they ""like it or not""",CBS Evening News,@annacespedes7530,2024-11-01T00:18:36Z,2024-11-01T00:18:36Z,0,"Don&#39;t let me laugh,  how you could  protect a woman&#39;s, if you never respect them 😢😢😢",https://www.youtube.com/watch?v=E-5sGYguihM
"Trump says he will ""protect women"" whether they ""like it or not""",CBS Evening News,@stevohmelike,2024-11-01T00:18:34Z,2024-11-01T00:18:34Z,0,Zero possibility to be a close race. It will all be a lie until the truth comes out. <br>Facts. <br>People are broke. <br>People are tired. <br>People are segregated. <br><br>All under this foolish party.,https://www.youtube.com/watch?v=E-5sGYguihM
